# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 16:12:18
# Scanner Center Position (X, Y):	[µm]	49.66	48.17	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	50	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	238,800.109	 	 
# Tip Amplitude:	[mV]	13.000	 	 
# Tapping Amplitude:	[nm]	72.109	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	452.3	 	 
# Version:	 	2.1.11536.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	26	8.143789E-07	196.46196	0	81.399376	1.8562247	0.39947665	-0.53752637	0.24944255	-2.398799	0.0019945703	0.101936206	6.948403E-05	-1.612959	90.21915	0	15.282538	2.8370516	2.9701712	-0.5669978	0.40470043	2.2652524	0.06694865	-1.3642368	0.0003102147	-3.1272404	
0	0	0	27	8.153839E-07	196.42873	0	81.38845	1.8566152	0.40139621	-0.5378286	0.24837941	-2.3945348	0.0012768111	-0.4854511	0.0002997378	-0.34018904	90.15654	0	15.034004	2.8365972	2.9143655	-0.5684465	0.36560836	2.3306947	0.082564965	-1.2098174	4.79968E-05	2.160907	
0	0	0	28	8.16389E-07	196.41743	0	81.372375	1.8573798	0.4009336	-0.53549004	0.24630702	-2.394585	0.00078550575	-0.32440662	0.00025920648	-2.8699076	89.47862	0	14.775846	2.83814	2.8309233	-0.5727621	0.37051955	2.2556539	0.05588897	-0.7128683	0.00029963173	-3.1081612	
0	0	0	29	8.17394E-07	196.42395	0	81.40949	1.8558004	0.40047184	-0.5349148	0.24878676	-2.3943489	0.0029606519	0.4489699	0.0003763263	1.1459403	90.890915	0	14.564182	2.837668	2.7691274	-0.57705456	0.35308516	2.3625364	0.040472154	-1.171885	0.00029786953	-0.5397493	
0	0	0	30	8.183908E-07	196.41397	0	81.50693	1.8509316	0.40336934	-0.5448261	0.25056553	-2.4164734	0.0018573371	-1.0634681	0.00019423649	-1.2167671	90.22395	0	14.3230295	2.838345	2.7583344	-0.5797432	0.31780317	2.277687	0.04907228	-1.6127871	7.649654E-05	-0.6949837	
0	0	0	31	8.19404E-07	196.39038	0	81.56402	1.8510847	0.40390512	-0.54320467	0.2489656	-2.410077	0.002738438	-0.399862	0.0005200907	-0.8972183	91.09954	0	14.161273	2.8344886	2.6929088	-0.5848798	0.35345405	2.231269	0.08877675	-1.1810167	0.00019501762	-0.68051827	
0	0	0	32	8.2040907E-07	196.39865	0	81.54263	1.8508652	0.40510148	-0.54863775	0.2503558	-2.4205017	0.0013909568	-1.0076218	2.845864E-05	0.27906007	90.39389	0	13.858282	2.8359883	2.6533823	-0.5821611	0.31632134	2.2786887	0.06125034	-1.2181389	6.63891E-05	-0.9076212	
0	0	0	33	8.2141406E-07	196.40256	0	81.562256	1.8501482	0.4037846	-0.5490705	0.24854831	-2.4167664	0.0026539431	0.04263004	0.00010808688	-2.3138719	90.87752	0	13.588345	2.8368437	2.6292424	-0.58173656	0.28278443	2.2246182	0.060016498	-1.6258583	0.00040765022	1.3145636	
0	0	0	34	8.2241087E-07	196.41275	0	81.57123	1.8500705	0.4047498	-0.55123174	0.25045234	-2.4203231	0.002235923	-0.3950648	0.00030675047	-3.0460968	90.11931	0	13.394886	2.836482	2.567121	-0.5783554	0.3432975	2.3677437	0.02818334	-0.86093616	0.0004316293	-2.950365	
0	0	0	35	8.234241E-07	196.4016	0	81.54979	1.850749	0.40254977	-0.5469369	0.25057203	-2.4122088	0.0017165103	-0.16488759	0.00017459424	-2.5442684	89.965	0	13.1596	2.838875	2.5489502	-0.57707125	0.27156606	2.2133353	0.046165403	-1.3439747	4.984485E-05	-0.78709924	
